LocationID,Category,ItemCode,MonthlyTargetUnits,UnitPrice,CurrentStockUnits
LOC-Alpha,Electronics,ITM-5506,551,115.49,623
LOC-Alpha,Toys,ITM-7912,115,19.75,46
LOC-Alpha,Toys,ITM-4257,1516,326.69,1308
LOC-Beta,Sports,ITM-5557,1707,435.3,1984
LOC-Beta,Sports,ITM-6574,619,81.96,891
LOC-Gamma,Electronics,ITM-2519,828,52.87,1065
LOC-Gamma,Electronics,ITM-8527,1148,66.79,1597
LOC-Alpha,Toys,ITM-5803,1748,316.18,2341
LOC-Gamma,Toys,ITM-4150,1492,39.43,1530
LOC-Gamma,Electronics,ITM-4814,1824,55.0,892
LOC-Gamma,Apparel,ITM-7065,777,108.71,368
LOC-Alpha,Toys,ITM-3803,1143,365.92,375
LOC-Delta,Home & Garden,ITM-4598,1452,165.52,1707
LOC-Alpha,Apparel,ITM-1525,1698,161.15,806
LOC-Beta,Toys,ITM-6155,485,329.44,317
LOC-Delta,Apparel,ITM-5339,335,127.08,296
LOC-Gamma,Toys,ITM-8019,1888,293.85,1145
LOC-Beta,Toys,ITM-9085,236,379.11,308
LOC-Beta,Apparel,ITM-7916,1271,36.45,806
LOC-Delta,Toys,ITM-5119,1183,431.09,137
LOC-Alpha,Toys,ITM-5371,1624,322.28,416
LOC-Delta,Apparel,ITM-8433,56,477.14,74
LOC-Gamma,Toys,ITM-3927,1089,456.75,1436
LOC-Gamma,Toys,ITM-4258,363,190.09,118
LOC-Alpha,Toys,ITM-6310,1050,14.64,1470
LOC-Gamma,Apparel,ITM-1949,543,439.61,774
LOC-Alpha,Sports,ITM-2133,1607,268.69,443
LOC-Delta,Toys,ITM-3705,592,266.2,561
LOC-Beta,Toys,ITM-4295,1510,159.3,2254
LOC-Gamma,Sports,ITM-9479,974,64.9,403
LOC-Gamma,Electronics,ITM-4770,1255,114.01,250
LOC-Alpha,Apparel,ITM-2104,1904,20.55,1071
LOC-Beta,Home & Garden,ITM-8953,488,271.92,542
LOC-Delta,Apparel,ITM-8749,1703,206.49,395
LOC-Delta,Home & Garden,ITM-7939,891,236.18,998
LOC-Alpha,Electronics,ITM-7596,1541,172.95,2013
LOC-Beta,Apparel,ITM-4116,1148,227.06,792
LOC-Gamma,Sports,ITM-5092,1840,462.02,1325
LOC-Alpha,Electronics,ITM-9856,1762,12.31,406
LOC-Beta,Apparel,ITM-7658,1044,243.27,1368
LOC-Alpha,Apparel,ITM-7209,54,492.73,25
LOC-Delta,Home & Garden,ITM-7930,1476,478.87,2204
LOC-Delta,Apparel,ITM-4111,657,112.76,119
LOC-Alpha,Home & Garden,ITM-1936,152,294.17,122
LOC-Beta,Electronics,ITM-9320,214,426.41,41
LOC-Alpha,Apparel,ITM-7615,295,471.09,264
LOC-Alpha,Toys,ITM-2343,908,330.4,809
LOC-Gamma,Home & Garden,ITM-4346,1421,359.51,616
LOC-Delta,Apparel,ITM-5915,986,161.51,1136
LOC-Alpha,Electronics,ITM-8508,1322,499.23,1975
LOC-Alpha,Toys,ITM-4492,1086,136.27,1527
LOC-Alpha,Apparel,ITM-7054,633,83.08,802
LOC-Gamma,Toys,ITM-9666,66,335.59,57
LOC-Alpha,Apparel,ITM-5333,286,445.41,325
LOC-Beta,Home & Garden,ITM-5616,1288,109.26,747
LOC-Gamma,Toys,ITM-9004,564,453.14,724
LOC-Alpha,Sports,ITM-5533,140,6.76,165
LOC-Gamma,Apparel,ITM-8239,1179,354.31,1043
LOC-Alpha,Electronics,ITM-3442,1167,22.83,719
LOC-Beta,Sports,ITM-3088,135,157.59,183
LOC-Alpha,Home & Garden,ITM-4441,1446,128.52,352
